9,1015,9,8
777,1015,777,8
781,1015,781,8
13,1015,13,8
14,12,776,12
10,8,780,8
14,1011,776,1011
10,1015,780,1015
233,789,745,789
85,282,258,282
482,285,682,285
94,547,94,187
330,771,471,771
109,165,285,165
85,532,85,163
48,798,48,523
87,162,307,162
482,275,679,275
290,276,489,280
278,636,557,636
682,501,682,286
672,503,672,286
739,752,739,532
547,541,738,541
741,752,741,532
736,752,736,534
679,503,679,284
675,503,675,284
743,752,743,532
278,642,398,642
110,172,284,172
246,470,246,278
171,285,258,284
109,170,285,170
278,765,471,762
240,470,240,286
547,535,652,535
96,605,220,605
287,603,396,603
483,659,483,576
57,623,220,623
308,163,486,163
93,280,258,280
58,611,220,608
481,277,614,277
429,283,542,282
56,770,56,625
49,798,178,798
486,310,486,164
315,764,315,643
102,612,220,612
315,497,430,497
362,605,477,605
551,771,704,771
330,767,420,764
314,499,431,499
348,551,430,551
290,274,426,277
456,657,557,657
300,764,300,643
456,759,557,759
298,764,298,643
314,518,399,520
220,622,220,526
330,761,557,761
454,660,557,658
369,682,471,672
