61,872,61,57
55,866,55,63
946,869,946,58
202,56,811,56
27,869,27,58
205,53,810,53
25,560,25,59
656,23,870,23
145,905,469,905
56,25,871,25
279,68,424,68
566,554,890,554
211,472,211,291
203,472,203,291
576,566,886,566
202,873,455,873
170,264,539,264
201,270,514,270
575,563,889,563
209,427,209,337
201,65,442,65
203,187,205,294
201,861,456,861
669,551,890,551
627,250,798,250
370,261,512,261
369,491,482,492
260,529,493,529
404,498,514,498
576,312,752,312
138,23,491,23
442,906,550,906
570,303,758,303
474,24,587,24
206,428,206,337
577,255,876,255
342,651,456,765
248,474,415,474
456,872,456,695
62,63,201,63
584,280,753,280
182,683,182,451
171,683,171,459
453,872,453,689
62,57,201,57
583,95,693,97
580,258,757,258
576,331,745,331
547,704,547,594
60,866,201,866
202,89,446,89
209,825,209,726
59,872,204,872
577,306,755,306
443,863,443,740
300,181,401,181
581,70,694,70
577,256,760,256
585,267,757,267
351,864,442,864
678,553,678,439
550,702,550,591
582,68,811,68
302,185,401,185
672,904,793,906
799,182,799,69
309,277,436,277
371,616,468,713
581,74,693,76
279,72,424,72
316,621,437,742
310,311,429,311
675,472,676,552
175,683,175,455
543,279,641,181
429,847,429,764
802,245,802,127
300,91,404,91
324,527,406,527
724,161,811,161
535,706,535,614
672,546,672,418
167,463,279,458
402,178,402,69
332,478,415,478
861,380,861,243
291,328,429,328
300,184,300,103
335,762,340,857
581,73,691,73
202,87,307,87
215,267,308,267
427,271,428,373
586,418,677,418
537,706,537,607
542,283,643,182
