55,400,620,400
54,390,622,390
314,398,530,398
54,392,228,392
329,428,329,27
331,426,331,171
340,337,340,27
339,183,622,183
341,192,538,192
611,398,611,76
338,194,622,194
154,87,622,87
323,85,622,85
23,237,210,237
323,76,619,76
622,398,622,78
339,235,610,235
339,246,610,246
23,245,212,245
78,394,190,394
78,396,190,396
24,247,212,247
156,47,339,47
496,189,586,189
201,398,201,239
64,398,64,239
23,239,212,239
470,185,586,185
154,49,339,49
154,236,154,50
165,236,165,55
452,384,542,384
54,399,54,248
212,405,212,219
25,121,281,121
462,392,462,236
452,392,452,244
56,397,56,248
465,425,598,425
62,398,62,246
209,405,340,405
460,391,460,244
609,398,609,298
480,182,480,88
338,245,338,108
466,427,597,427
23,132,164,132
209,403,339,403
163,56,331,56
465,421,598,421
454,389,454,247
169,58,331,58
151,398,255,397
23,246,23,123
467,399,468,318
216,398,216,281
167,126,281,126
594,229,594,89
25,244,25,124
156,122,281,122
488,392,596,399
167,124,281,124
220,398,220,281
214,398,214,281
332,169,434,169
244,393,244,283
327,429,327,280
478,184,478,86
318,376,415,376
31,236,31,131
